generate student data:
(0,'颜器萍','数理','数学',20),
(1,'封树','数理','数学',20),
(2,'仇信壮','CS','软件工程',20),
(3,'通贝桂','社科','社科',20),
(4,'米礼玉','商院','管理学',20),
(5,'任电香','商院','经济学',20),
(6,'晋菁','商院','管理学',20),
(7,'符瑗','商院','管理学',20),
(8,'武凯祥','人工智能','人工智能',20),
(9,'詹永','工程管理','金融工程',20),
(10,'许江','商院','管理学',20),
(11,'吉笑晶','商院','管理学',20),
(12,'王电丽','工程管理','工业工程',20),
(13,'危姣','人工智能','人工智能',20),
(14,'农亮','数理','数学',20),
(15,'傅利','数理','数学',20),
(16,'尤惠','商院','保险学',20),
(17,'陶马姬','人工智能','人工智能',20),
(18,'刁中伟','数理','物理',20),
(19,'李被育','商院','保险学',20),
(20,'荀会','人工智能','人工智能',20),
(21,'柯康','数理','数学',20),
(22,'华被旭','数理','天文',20),
(23,'齐玉士','工程管理','金融工程',20),
(24,'钟礼园','商院','管理学',20),
(25,'鲁淑','数理','天文',20),
(26,'尤芸','CS','软件工程',20),
(27,'东方中菲','CS','软件工程',20),
(28,'沃卡祥','商院','保险学',20),
(29,'龚义纯','工程管理','金融工程',20),

generate course data:
(0,'数据库','工程管理',1),
(1,'数据库','CS',1),
(2,'数据库','人工智能',4),
(3,'操作系统','工程管理',4),
(4,'操作系统','CS',5),
(5,'操作系统','人工智能',5),
(6,'数字电路','工程管理',1),
(7,'数字电路','CS',3),
(8,'数字电路','人工智能',5),
(9,'线代','工程管理',3),
(10,'线代','CS',1),
(11,'线代','人工智能',3),
(12,'微积分','工程管理',5),
(13,'微积分','CS',1),
(14,'微积分','人工智能',4),

generate SC data:
(0,7,2020,92),
(0,11,2017,84),
(1,1,2017,93),
(1,14,2018,73),
(3,0,2019,92),
(3,10,2018,96),
(4,3,2018,70),
(4,5,2018,87),
(4,7,2017,88),
(5,8,2018,96),
(5,9,2018,81),
(5,10,2019,84),
(6,2,2017,73),
(6,6,2018,80),
(7,6,2020,80),
(7,11,2019,75),
(9,8,2017,100),
(9,11,2018,82),
(10,0,2017,81),
(10,3,2017,79),
(10,5,2019,70),
(11,4,2019,95),
(11,9,2018,92),
(12,14,2017,81),
(13,8,2017,80),
(13,11,2019,97),
(14,5,2018,76),
(14,11,2018,83),
(16,1,2020,83),
(16,5,2019,97),
(16,6,2020,89),
(17,7,2020,82),
(17,13,2018,78),
(18,10,2017,70),
(19,2,2018,87),
(19,6,2019,96),
(19,8,2019,94),
(19,9,2020,80),
(19,12,2017,83),
(20,5,2017,87),
(20,9,2018,84),
(21,11,2019,79),
(21,14,2018,92),
(22,1,2017,81),
(22,9,2018,75),
(22,11,2019,74),
(23,1,2018,72),
(23,13,2020,85),
(24,6,2018,91),
(25,14,2018,72),
(26,7,2019,83),
(26,10,2017,92),
(27,4,2017,98),
(28,2,2018,98),
(28,8,2019,83),
(28,10,2017,88),
(29,0,2017,98),
(29,7,2020,99),
(29,9,2018,70),
(29,11,2018,93),

generate teacher data
(0,'胡伟','人工智能',153284),
(1,'胡伟大','工程管理',210778),
(2,'王胜利','工程管理',830436),
(3,'李其芳','CS',834998),
(4,'王曦','CS',58898),
(5,'张帅','CS',887285),
